20 7e 2c 50 #
21 5a 65 22 #!
22 45 72 4a #"
23 3a 5b 61 ##
24 79 66 5e #$
25 59 75 5d #%
26 27 4c 5b #&
27 76 45 42 #'
28 63 76 60 #(
29 62 2a 23 #)
2a 4d 43 65 #*
2b 51 33 5f #+
2c 53 42 7e #,
2d 52 20 4f #-
2e 20 63 52 #.
2f 26 4a 7a #/
30 54 5a 21 #0
31 71 38 46 #1
32 2b 79 20 #2
33 66 32 26 #3
34 2a 57 63 #4
35 58 6c 2a #5
36 7f 2b 76 #6
37 7b 46 47 #7
38 30 52 25 #8
39 31 4f 2c #9
3a 6c 3d 29 #:
3b 49 70 69 #;
3d 78 7b 27 #=
3f 5f 51 67 #?
41 29 7a 62 #A
42 24 7e 41 #B
43 2f 3b 5a #C
44 39 47 66 #D
45 33 41 32 #E
46 6f 77 73 #F

47 21 56 4d #G
48 75 5f 43 #H
49 28 26 71 #I
4a 42 78 39 #J
4b 46 6e 7c #K
4c 4a 64 53 #L
4d 5c 74 48 #M
4e 48 67 31 #N
4f 36 7d 72 #O
50 4b 68 6e #P
51 7d 35 70 #Q
52 5d 22 49 #R
53 6a 55 3f #S
54 50 3a 4b #T
55 69 60 6a #U
56 23 6a 2e #V
57 09 71 7f #W
58 70 6f 28 #X
59 65 49 35 #Y
5a 74 5c 7d #Z
5b 2c 5d 24 #[
5c 77 27 2d #\
5d 44 59 54 #]
5e 3f 25 37 #^
5f 6d 7c 7b #_
60 7c 23 3d #`
61 43 6d 6c #a
62 38 28 34 #b
63 5e 31 6d #c
64 5b 39 4e #d
65 6e 7f 2b #e
66 57 36 30 #f
67 4c 54 6f #g
68 34 34 74 #h
69 72 62 6b #i
6a 25 4e 4c #j
6b 56 30 33 #k
6c 73 5e 56 #l
6d 68 73 3a #m
6e 55 09 78 #n
6f 47 4b 57 #o
70 32 61 77 #p
71 35 24 3b #q
72 2e 4d 44 #r
73 64 6b 2f #s
74 4f 44 59 #t
75 3b 21 45 #u
76 2d 37 5c #v
77 41 53 68 #w
78 61 58 36 #x
79 7a 48 58 #y
7a 22 2e 79 #z
7b 60 50 09 #{
7c 6b 2d 75 #|
7d 4e 29 38 #}
7e 3d 3f 55 #~
